服务态度,店铺链接,类型,描述相符,店铺销量,店铺id,卖家昵称,店铺宝贝数量,物流速度,用户评分链接,店铺名称,店铺区域,好评率
4.94,//shop69708884.taobao.com,服饰鞋包,4.94,79,69708884,vowbo,18,4.94,//rate.taobao.com/user-rate-UMGxYOmQYMCQL.htm,女装打底工厂店,,100.00%
4.67,//shop118391318.taobao.com,服饰鞋包,4.62,118,118391318,a420309717,89,4.66,//rate.taobao.com/user-rate-UMGk4MmkuOFcy.htm,梦梦家靓衣裳,,97.28%
4.84,//shop128128168.taobao.com,服饰鞋包,4.83,35,128128168,gggggddddd322,45,4.89,//rate.taobao.com/user-rate-UvCvbMFHLOFQyMgTT.htm,唯一衣吧55,,96.57%
5,//shop587586079.taobao.com,服饰鞋包,5,35,587586079,谁来暖暖,22,5,//rate.taobao.com/user-rate-UvCxWOmxGMGvbvNTT.htm,衣世界1店,贵州 黔南,100.00%
4.98,//shop69671171.taobao.com,服饰鞋包,4.97,40,69671171,陈冰凌58,96,4.98,//rate.taobao.com/user-rate-UMGgLOFILvCgS.htm,纯儿衣坊,,99.66%
4.47,//shop105043934.taobao.com,服饰鞋包,4.39,40,105043934,陈文玲2188,77,4.55,//rate.taobao.com/user-rate-UvFcGMmxSMm8WMgTT.htm,茉然高端定制,,95.81%
4.71,//shop111522090.taobao.com,服饰鞋包,4.71,40,111522090,荭lovemi,27,4.77,//rate.taobao.com/user-rate-UvFguMmcYOFxGMNTT.htm,伊莲纺时尚女装,,97.32%
4.81,//shop141495494.taobao.com,服饰鞋包,4.76,201,141495494,淘暴咯,5,4.84,//rate.taobao.com/user-rate-UvCx4vG8SMCgyvNTT.htm,NNJIA,,98.13%
4.71,//shop114204731.taobao.com,服饰鞋包,4.62,344,114204731,艾家缘83,34,4.75,//rate.taobao.com/user-rate-UvCILMmcWOmcYvNTT.htm,家缘服饰工厂店,,98.71%
4.82,//shop149737108.taobao.com,服饰鞋包,4.78,344,149737108,第衣感觉666,34,4.84,//rate.taobao.com/user-rate-UvCgYMFgSOmQSvWTT.htm,第衣感觉666,,99.57%
4.88,//shop100219698.taobao.com,母婴,4.82,89,100219698,董夏芬66,132,4.9,//rate.taobao.com/user-rate-UMCkyMm8LOFcb.htm,婴幼儿童装商城,,98.23%
4.98,//shop105065077.taobao.com,母婴,4.98,78,105065077,zlc790102,146,4.98,//rate.taobao.com/user-rate-UvFcyMmv4OmQYvWTT.htm,硕士童装环球购网点,,99.89%
4.71,//shop104641734.taobao.com,母婴,4.62,88,104641734,起缘店,178,4.65,//rate.taobao.com/user-rate-UvFcYMFkuMFQ4vWTT.htm,有趣童装 店,,97.88%
4.65,//shop112785523.taobao.com,母婴,4.64,88,112785523,宝宝妈小欢,1074,4.7,//rate.taobao.com/user-rate-UvCIWMGgLvmvLvNTT.htm,天才宝贝童装大世界,,99.25%
4.98,//shop116864783.taobao.com,母婴,4.97,88,116864783,萌阿娟1994,404,4.98,//rate.taobao.com/user-rate-UvCQGvmkyvFkbvQTT.htm,去吧 皮卡丘童装屋,,99.76%
4.79,//shop107859531.taobao.com,母婴,4.76,77,107859531,lasalle1927,78,4.77,//rate.taobao.com/user-rate-UvFgbMCQ4vC8GOQTT.htm,壹尚童装,,98.55%
4.61,//shop142017902.taobao.com,服饰鞋包,4.53,12297,142017902,有钱不一定疯狂,9,4.58,//rate.taobao.com/user-rate-UvCN4MCISMmgWvWTT.htm,南极人促销精品店,广东 惠州,98.17%
4.86,//shop100622282.taobao.com,母婴,4.85,87,100622282,hu271456408,23,4.83,//rate.taobao.com/user-rate-UvFNyvFgyOFQbOQTT.htm,童装时尚小屋,,97.52%
4.81,//shop36556184.taobao.com,母婴,4.65,87,36556184,yangjian2008ks,88,4.73,//rate.taobao.com/user-rate-UvFvWMGvYvCk4.htm,忆童年精品童装,,91.67%
4.61,//shop112915205.taobao.com,母婴,4.59,86,112915205,快乐家族99966,307,4.69,//rate.taobao.com/user-rate-UvCHSOm84vCv0ONTT.htm,快乐家族童装,,96.77%
4.65,//shop135666366.taobao.com,母婴,4.56,86,135666366,大舅五桥,85,4.66,//rate.taobao.com/user-rate-UvCQGMF80MmcSvNTT.htm,裕裕熊童装品牌店,,94.97%
4.66,//shop122988361.taobao.com,母婴,4.67,86,122988361,ywf18518029791,1288,4.71,//rate.taobao.com/user-rate-UvCvyvFNuOFk4vQTT.htm,童装屋66,,98.47%
4.62,//shop105880232.taobao.com,母婴,4.56,85,105880232,flyxu01,43,4.62,//rate.taobao.com/user-rate-UvGgGvGISMmgT.htm,天信 Koya童装,,96.36%
4.63,//shop112912401.taobao.com,母婴,4.57,85,112912401,诚信商城626,308,4.67,//rate.taobao.com/user-rate-UvCHuvCNSOFNGOQTT.htm,诚信商城童装,,95.97%
4.82,//shop57797405.taobao.com,服饰鞋包,4.76,2405,57797405,丁刚明,308,4.82,//rate.taobao.com/user-rate-UvF8WMGQYMGk4.htm,歌家fashion,,99.27%
4.94,//shop113360434.taobao.com,母婴,4.9,84,113360434,360快乐天使宝贝,26,4.93,//rate.taobao.com/user-rate-UvCIyMmxWOFvSOQTT.htm,乐乐童装库,,98.06%
4.74,//shop130165958.taobao.com,母婴,4.74,84,130165958,wzh7788519,33,4.75,//rate.taobao.com/user-rate-UvCIWOFIbvGx0vQTT.htm,糖逗童装,,98.52%
4.65,//shop109543365.taobao.com,母婴,4.62,83,109543365,中国娃娃5920,305,4.66,//rate.taobao.com/user-rate-UvCNWvGvbMmIbvWTT.htm,中国娃娃童装馆,,97.55%
4.74,//shop116472989.taobao.com,母婴,4.67,83,116472989,傲骨云影独望天,56,4.77,//rate.taobao.com/user-rate-UvCQYvGNSvG8uvgTT.htm,云影潮流  宝贝童装,,95.84%
4.65,//shop109178100.taobao.com,母婴,4.67,83,109178100,hanlin455,1242,4.67,//rate.taobao.com/user-rate-UvCNYvFNGOmkSOQTT.htm,萌童中高档童装,,96.35%
4.8,//shop248615275.taobao.com,母婴,4.76,83,248615275,小时候童装0722,55,4.73,//rate.taobao.com/user-rate-UvCk0MCIWMFIbMNTT.htm,小时候的童装铺,,97.97%
4.74,//shop136428050.taobao.com,服饰鞋包,4.71,11917,136428050,慕宇集团,28,4.71,//rate.taobao.com/user-rate-UvCx0MmQYvFkuvNTT.htm,南极人企业店,,97.96%
